"local_path","source_url","mime","width","height","duration","bytes","uploaded","used_on","status","caption"
"assets/gallery/corporativo/eduardo-rodrigues-eventos-corporativo-2012-adh.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-eventos-corporativo-2012-adh.jpg","image/jpeg","1200","803","","191694","2021-01-15","corporativo","in use","Conduzindo Congresso Nacional de Saúde-São Camilo-ExpoCenter Norte"
"assets/gallery/corporativo/eduardo-rodrigues-eventos-corporativo-2016.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-eventos-corporativo-2016.jpg","image/jpeg","1200","795","","115336","2021-01-15","corporativo","in use","Apresentando Congresso da Angrad – São Paulo"
"assets/gallery/corporativo/eduardo-rodrigues-eventos-corporativo-2016-ix-senangrad.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-eventos-corporativo-2016-ix-senangrad.jpg","image/jpeg","1200","795","","173003","2021-01-15","corporativo","in use","Seminário Educacional-Sede Mackenzie-SP"
"assets/gallery/corporativo/eduardo-rodrigues-eventos-corporativo-2016-xxvii-enangrad.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-eventos-corporativo-2016-xxvii-enangrad.jpg","image/jpeg","1200","795","","209946","2021-01-15","corporativo","in use","Congresso de Educação – Enangrad – Campinas"
"assets/gallery/corporativo/eduardo-rodrigues-eventos-corporativo-xv-congresso-ibgc.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-eventos-corporativo-xv-congresso-ibgc.jpg","image/jpeg","1200","795","","130088","2021-01-15","corporativo","in use","15o.Congresso IBCG-Anhembi-SP"
"assets/gallery/eduardo-rodrigues/eduardo-rodrigues-web-radio-2009-v02.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-web-radio-2009-v02.jpg","image/jpeg","1200","900","","143020","2021-01-15","eduardo-rodrigues","in use","Apresentador"
"assets/gallery/eduardo-rodrigues/eduardo-rodrigues-web-radio-2009-v03.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-web-radio-2009-v03.jpg","image/jpeg","900","1200","","171741","2021-01-15","eduardo-rodrigues","in use","Apresentador"
"assets/gallery/eduardo-rodrigues/eduardo-rodrigues-web-radio-2009-v04.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-web-radio-2009-v04.jpg","image/jpeg","900","1200","","156647","2021-01-15","eduardo-rodrigues","in use","Mestre de Cerimônias"
"assets/gallery/eduardo-rodrigues/eduardo-rodrigues-web-radio-2009-v05.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-web-radio-2009-v05.jpg","image/jpeg","1200","900","","113341","2021-01-15","eduardo-rodrigues","in use","Em trabalho na HBO"
"assets/gallery/eduardo-rodrigues/IMG-20210614-WA0133.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/06/IMG-20210614-WA0133.jpg","image/jpeg","853","1280","","387588","2021-06-18","eduardo-rodrigues","in use","Eduvoice Estúdio"
"assets/gallery/estudio/eduardo-rodrigues-estudio-2007-v01.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-estudio-2007-v01.jpg","image/jpeg","1200","900","","225095","2021-01-15","estudio","in use","Locução Comercial/Estúdio Gravação"
"assets/gallery/estudio/eduardo-rodrigues-estudio-2007-v02.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-estudio-2007-v02.jpg","image/jpeg","1200","900","","336782","2021-01-15","","in library, not shown on any page",""
"assets/gallery/estudio/eduardo-rodrigues-estudio-2007-v03.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-estudio-2007-v03.jpg","image/jpeg","1200","900","","302493","2021-01-15","estudio","in use","Locução Comercial/Estúdio Gravação"
"assets/gallery/estudio/eduardo-rodrigues-web-radio-2009-v06.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-web-radio-2009-v06.jpg","image/jpeg","1200","900","","242745","2021-01-15","estudio","in use","Locução Comercial em Estúdio"
"assets/gallery/estudio/eduardo-rodrigues-web-radio-2009-v07.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-web-radio-2009-v07.jpg","image/jpeg","1200","900","","193694","2021-01-15","estudio","in use","Gravação no Estudio da HBO-Brasil"
"assets/gallery/estudio/IMG-20210614-WA0126.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/06/IMG-20210614-WA0126.jpg","image/jpeg","1280","1121","","585979","2021-06-18","estudio","in use","Gravando-Eduvoice Produtora"
"assets/gallery/festas/eduardo-rodrigues-festa-2007-v01.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-festa-2007-v01.jpg","image/jpeg","900","1200","","285419","2021-01-15","festas","in use","Mestre de Cerimônias-Baile de Formaturas -Clube Mendes Santos"
"assets/gallery/festas/eduardo-rodrigues-festa-2007-v02.jpg","https://edurodrigues.com.br/wp-content/uploads/2021/01/eduardo-rodrigues-festa-2007-v02.jpg","image/jpeg","1200","900","","304572","2021-01-15","festas","in use","Mestre de Cerimônias-Baile de Formaturas -Clube Mendes Santos"
